grafana  | Grafana server is running with elevated privileges. This is not recommended
grafana  | logger=settings t=2025-01-06T19:38:06.960491518Z level=info msg="Starting Grafana" version=11.4.0 commit=b58701869e1a11b696010a6f28bd96b68a2cf0d0 branch=HEAD compiled=2025-01-06T19:38:06Z
grafana  | logger=settings t=2025-01-06T19:38:06.960704522Z level=info msg="Config loaded from" file=/usr/share/grafana/conf/defaults.ini
grafana  | logger=settings t=2025-01-06T19:38:06.960713999Z level=info msg="Config loaded from" file=/etc/grafana/grafana.ini
grafana  | logger=settings t=2025-01-06T19:38:06.960717833Z level=info msg="Config overridden from command line" arg="default.paths.data=/var/lib/grafana"
grafana  | logger=settings t=2025-01-06T19:38:06.960721643Z level=info msg="Config overridden from command line" arg="default.paths.logs=/var/log/grafana"
grafana  | logger=settings t=2025-01-06T19:38:06.960728204Z level=info msg="Config overridden from command line" arg="default.paths.plugins=/var/lib/grafana/plugins"
grafana  | logger=settings t=2025-01-06T19:38:06.960732121Z level=info msg="Config overridden from Environment variable" var="GF_SECURITY_ADMIN_USER=tkaragoz"
grafana  | logger=settings t=2025-01-06T19:38:06.960739755Z level=info msg="Config overridden from Environment variable" var="GF_SECURITY_ADMIN_PASSWORD=*********"
grafana  | logger=settings t=2025-01-06T19:38:06.960743641Z level=info msg=Target target=[all]
grafana  | logger=settings t=2025-01-06T19:38:06.960749525Z level=info msg="Path Home" path=/usr/share/grafana
grafana  | logger=settings t=2025-01-06T19:38:06.960753145Z level=info msg="Path Data" path=/var/lib/grafana
grafana  | logger=settings t=2025-01-06T19:38:06.960758407Z level=info msg="Path Logs" path=/var/log/grafana
grafana  | logger=settings t=2025-01-06T19:38:06.960761856Z level=info msg="Path Plugins" path=/var/lib/grafana/plugins
grafana  | logger=settings t=2025-01-06T19:38:06.960765366Z level=info msg="Path Provisioning" path=/usr/share/grafana/conf/provisioning
grafana  | logger=settings t=2025-01-06T19:38:06.960768891Z level=info msg="App mode production"
grafana  | logger=featuremgmt t=2025-01-06T19:38:06.966510801Z level=info msg=FeatureToggles nestedFolders=true prometheusAzureOverrideAudience=true alertingInsights=true autoMigrateXYChartPanel=true dataplaneFrontendFallback=true accessControlOnCall=true notificationBanner=true kubernetesPlaylists=true cloudWatchCrossAccountQuerying=true logsInfiniteScrolling=true dashboardScene=true annotationPermissionUpdate=true lokiMetricDataplane=true prometheusConfigOverhaulAuth=true cloudWatchRoundUpEndTime=true dashboardSceneForViewers=true pinNavItems=true ssoSettingsApi=true alertingSimplifiedRouting=true angularDeprecationUI=true awsAsyncQueryCaching=true managedPluginsInstall=true dashboardSceneSolo=true cloudWatchNewLabelParsing=true logsExploreTableVisualisation=true influxdbBackendMigration=true tlsMemcached=true prometheusMetricEncyclopedia=true transformationsVariableSupport=true dashgpt=true recordedQueriesMulti=true lokiStructuredMetadata=true lokiQueryHints=true exploreMetrics=true topnav=true lokiQuerySplitting=true panelMonitoring=true publicDashboards=true promQLScope=true recoveryThreshold=true transformationsRedesign=true alertingNoDataErrorExecution=true groupToNestedTableTransformation=true formatString=true openSearchBackendFlowEnabled=true publicDashboardsScene=true correlations=true logsContextDatasourceUi=true addFieldFromCalculationStatFunctions=true logRowsPopoverMenu=true
grafana  | logger=sqlstore t=2025-01-06T19:38:06.969740356Z level=info msg="Connecting to DB" dbtype=sqlite3
grafana  | logger=sqlstore t=2025-01-06T19:38:06.969825126Z level=info msg="Creating SQLite database file" path=/var/lib/grafana/grafana.db
grafana  | logger=migrator t=2025-01-06T19:38:06.970930076Z level=info msg="Locking database"
grafana  | logger=migrator t=2025-01-06T19:38:06.971000188Z level=info msg="Starting DB migrations"
grafana  | logger=migrator t=2025-01-06T19:38:06.971456702Z level=info msg="Executing migration" id="create migration_log table"
grafana  | logger=migrator t=2025-01-06T19:38:06.972132478Z level=info msg="Migration successfully executed" id="create migration_log table" duration=675.203µs
grafana  | logger=migrator t=2025-01-06T19:38:06.976369561Z level=info msg="Executing migration" id="create user table"
grafana  | logger=migrator t=2025-01-06T19:38:06.976919536Z level=info msg="Migration successfully executed" id="create user table" duration=550.576µs
grafana  | logger=migrator t=2025-01-06T19:38:06.979609552Z level=info msg="Executing migration" id="add unique index user.login"
grafana  | logger=migrator t=2025-01-06T19:38:06.980073525Z level=info msg="Migration successfully executed" id="add unique index user.login" duration=463.65µs
grafana  | logger=migrator t=2025-01-06T19:38:06.983100685Z level=info msg="Executing migration" id="add unique index user.email"
grafana  | logger=migrator t=2025-01-06T19:38:06.983653366Z level=info msg="Migration successfully executed" id="add unique index user.email" duration=553.698µs
grafana  | logger=migrator t=2025-01-06T19:38:06.985929271Z level=info msg="Executing migration" id="drop index UQE_user_login - v1"
grafana  | logger=migrator t=2025-01-06T19:38:06.986310185Z level=info msg="Migration successfully executed" id="drop index UQE_user_login - v1" duration=381.022µs
grafana  | logger=migrator t=2025-01-06T19:38:06.988053947Z level=info msg="Executing migration" id="drop index UQE_user_email - v1"
grafana  | logger=migrator t=2025-01-06T19:38:06.988472917Z level=info msg="Migration successfully executed" id="drop index UQE_user_email - v1" duration=419.135µs
grafana  | logger=migrator t=2025-01-06T19:38:06.990547314Z level=info msg="Executing migration" id="Rename table user to user_v1 - v1"
grafana  | logger=migrator t=2025-01-06T19:38:06.991868888Z level=info msg="Migration successfully executed" id="Rename table user to user_v1 - v1" duration=1.32225ms
grafana  | logger=migrator t=2025-01-06T19:38:06.994907478Z level=info msg="Executing migration" id="create user table v2"
grafana  | logger=migrator t=2025-01-06T19:38:06.995317421Z level=info msg="Migration successfully executed" id="create user table v2" duration=408.81µs
grafana  | logger=migrator t=2025-01-06T19:38:06.997577943Z level=info msg="Executing migration" id="create index UQE_user_login - v2"
grafana  | logger=migrator t=2025-01-06T19:38:06.997963158Z level=info msg="Migration successfully executed" id="create index UQE_user_login - v2" duration=385.046µs
grafana  | logger=migrator t=2025-01-06T19:38:07.002825611Z level=info msg="Executing migration" id="create index UQE_user_email - v2"
grafana  | logger=migrator t=2025-01-06T19:38:07.003224524Z level=info msg="Migration successfully executed" id="create index UQE_user_email - v2" duration=397.64µs
grafana  | logger=migrator t=2025-01-06T19:38:07.006859057Z level=info msg="Executing migration" id="copy data_source v1 to v2"
grafana  | logger=migrator t=2025-01-06T19:38:07.007080509Z level=info msg="Migration successfully executed" id="copy data_source v1 to v2" duration=222.337µs
grafana  | logger=migrator t=2025-01-06T19:38:07.00896262Z level=info msg="Executing migration" id="Drop old table user_v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.009305527Z level=info msg="Migration successfully executed" id="Drop old table user_v1" duration=343.185µs
grafana  | logger=migrator t=2025-01-06T19:38:07.015309856Z level=info msg="Executing migration" id="Add column help_flags1 to user table"
grafana  | logger=migrator t=2025-01-06T19:38:07.016757043Z level=info msg="Migration successfully executed" id="Add column help_flags1 to user table" duration=1.44887ms
grafana  | logger=migrator t=2025-01-06T19:38:07.024459248Z level=info msg="Executing migration" id="Update user table charset"
grafana  | logger=migrator t=2025-01-06T19:38:07.024504525Z level=info msg="Migration successfully executed" id="Update user table charset" duration=47.923µs
grafana  | logger=migrator t=2025-01-06T19:38:07.0318621Z level=info msg="Executing migration" id="Add last_seen_at column to user"
grafana  | logger=migrator t=2025-01-06T19:38:07.032521537Z level=info msg="Migration successfully executed" id="Add last_seen_at column to user" duration=659.686µs
grafana  | logger=migrator t=2025-01-06T19:38:07.035660695Z level=info msg="Executing migration" id="Add missing user data"
grafana  | logger=migrator t=2025-01-06T19:38:07.035874941Z level=info msg="Migration successfully executed" id="Add missing user data" duration=215.039µs
grafana  | logger=migrator t=2025-01-06T19:38:07.037917539Z level=info msg="Executing migration" id="Add is_disabled column to user"
grafana  | logger=migrator t=2025-01-06T19:38:07.038532448Z level=info msg="Migration successfully executed" id="Add is_disabled column to user" duration=614.675µs
grafana  | logger=migrator t=2025-01-06T19:38:07.040375844Z level=info msg="Executing migration" id="Add index user.login/user.email"
